FECHA,CONTACTOS,GRUPOS,EVENTOS
2022-08-01,7998,22106,76
2022-08-02,7122,22797,100
2022-08-03,7354,21761,229
2022-08-04,6649,22300,169
2022-08-05,6119,19050,142
2022-08-06,5850,17468,50
2022-08-07,3604,10458,24
2022-08-08,8267,20945,75
2022-08-09,7061,19247,146
2022-08-10,6659,17360,96
2022-08-11,6610,20176,32
2022-08-12,6497,18332,65
2022-08-13,5437,16714,51
2022-08-14,3312,9997,15
2022-08-15,4339,14008,43
2022-08-16,7727,22274,121
2022-08-17,7274,21266,102
2022-08-18,6993,20542,122
2022-08-19,6327,19676,114
2022-08-20,5344,19583,158
2022-08-21,3890,11082,47
2022-08-22,7988,20929,96
2022-08-23,7197,19763,83
2022-08-24,6766,18924,61
2022-08-25,6867,19079,96
2022-08-26,6197,20292,312
2022-08-27,5767,21908,311
2022-08-28,3895,13414,59
2022-08-29,7731,21355,76
2022-08-30,7146,19679,111
2022-08-31,6383,17973,145
2022-09-01,6264,18199,212
2022-09-02,6416,17182,74
2022-09-03,5470,17919,267
2022-09-04,3471,11345,71
2022-09-05,7182,19115,112
2022-09-06,6548,19521,204
2022-09-07,6422,16918,68
2022-09-08,6913,19689,103
2022-09-09,6062,17126,135
2022-09-10,4244,13956,39
2022-09-11,3611,11602,105
2022-09-12,7551,21471,121
2022-09-13,6794,22149,126
2022-09-14,6879,21799,607
2022-09-15,6371,19101,312
2022-09-16,5403,16238,67
2022-09-17,4573,12749,65
2022-09-18,2905,9090,46
2022-09-19,6404,16371,46
2022-09-20,7074,19300,122
2022-09-21,6637,18975,115
2022-09-22,6754,19345,187
2022-09-23,5692,18499,291
2022-09-24,4257,14448,53
2022-09-25,3336,10329,47
2022-09-26,7537,21635,164
2022-09-27,6945,22800,214
2022-09-28,6062,20811,133
2022-09-29,5964,18512,335
2022-09-30,5324,15675,161
2022-10-01,7778,16667,144
2022-10-02,6641,13849,102
2022-10-03,7145,19928,149
2022-10-04,6464,20621,174
2022-10-05,6949,25329,229
2022-10-06,6416,19525,200
2022-10-07,5598,17082,162
2022-10-08,5053,15836,174
2022-10-09,3606,10895,100
2022-10-10,7389,21108,207
2022-10-11,6461,21022,164
2022-10-12,6311,20416,170
2022-10-13,6388,20364,269
2022-10-14,5377,16782,104
2022-10-15,3680,11093,57
2022-10-16,3383,12475,60
2022-10-17,4047,11650,45
2022-10-18,6991,20979,332
2022-10-19,6244,20476,307
2022-10-20,6524,21401,166
2022-10-21,6031,21060,109
2022-10-22,5599,18645,406
2022-10-23,3623,12012,166
2022-10-24,7621,21495,282
2022-10-25,6513,22173,211
2022-10-26,6062,19315,163
2022-10-27,4281,12935,25
2022-10-28,5264,21758,168
2022-10-29,4851,16825,31
2022-10-30,3554,12479,53
2022-10-31,5719,17797,51
2022-11-01,6143,21630,79
2022-11-02,6247,19408,28
2022-11-03,4809,14225,106
2022-11-04,5459,16482,46
2022-11-05,4356,12570,13
2022-11-06,3112,10404,21
2022-11-07,3802,11670,52
2022-11-08,6033,16900,81
2022-11-09,6566,18724,30
2022-11-10,5781,16279,28
2022-11-11,5450,16748,43
2022-11-12,3935,13900,11
2022-11-13,3154,11239,75
2022-11-14,3863,10424,52
2022-11-15,5874,15313,51
2022-11-16,5520,15532,55
2022-11-17,6018,17212,118
2022-11-18,5590,15901,35
2022-11-19,5449,15800,23
2022-11-20,3544,9814,12
2022-11-21,7433,18921,39
2022-11-22,6658,19936,58
2022-11-23,9245,38439,352
2022-11-24,6844,24421,118
2022-11-25,6583,19577,60
2022-11-26,5507,16189,18
2022-11-27,3369,16501,25
2022-11-28,7421,21854,74
2022-11-29,5209,17535,43
2022-11-30,5330,17899,0
2022-12-01,5283,15616,54
2022-12-02,4933,15457,74
2022-12-03,3646,13268,61
2022-12-04,3001,10296,24
2022-12-05,5997,18238,113
2022-12-06,5405,17847,41
2022-12-07,4208,13457,104
2022-12-08,2996,8971,21
2022-12-09,5116,14107,38
2022-12-10,4202,11044,23
2022-12-11,2773,8277,18
2022-12-12,6293,16513,19
2022-12-13,5806,16233,36
2022-12-14,5411,15366,54
2022-12-15,4712,13720,61
2022-12-16,4247,14529,102
2022-12-17,4099,13276,82
2022-12-18,2355,13261,132
2022-12-19,5859,18693,90
2022-12-20,5102,17429,53
2022-12-21,4739,14986,56
2022-12-22,4164,13953,72
2022-12-23,3706,12520,50
2022-12-24,2238,7665,18
2022-12-25,1628,5635,8
2022-12-26,4886,13238,60
2022-12-27,5374,17283,172
2022-12-28,5240,16296,24
2022-12-29,4622,16027,124
2022-12-30,4152,15504,27
2022-12-31,1685,5504,10
2023-01-01,823,3889,5
2023-01-02,5503,15890,37
2023-01-03,5188,14881,25
2023-01-04,5568,14744,37
2023-01-05,5209,13634,40
2023-01-06,4953,14323,25
2023-01-07,3873,10162,8
2023-01-08,2471,7977,14
2023-01-09,4331,13986,85
2023-01-10,6807,20235,146
2023-01-11,6475,18328,141
2023-01-12,5610,19542,261
2023-01-13,5720,16801,122
2023-01-14,4866,15509,50
2023-01-15,3240,9468,71
2023-01-16,6640,17392,68
2023-01-17,5891,17624,70
2023-01-18,6001,16936,21
2023-01-19,6341,21132,65
2023-01-20,5713,17279,54
2023-01-21,4495,14286,38
2023-01-22,2858,9485,22
2023-01-23,6761,18538,60
2023-01-24,5994,16614,47
2023-01-25,5677,17836,49
2023-01-26,6130,19873,79
2023-01-27,5929,19575,67
2023-01-28,5046,14382,58
2023-01-29,3291,12846,34
2023-01-30,6649,20019,102
2023-01-31,5823,18722,64
2023-02-01,5868,19485,60
2023-02-02,6337,19763,55
2023-02-03,5458,17815,76
2023-02-04,4904,15765,71
2023-02-05,3050,10753,36
2023-02-06,6341,19889,76
2023-02-07,5836,18583,91
2023-02-08,6005,19715,100
2023-02-09,5789,19976,46
2023-02-10,5704,19038,78
2023-02-11,4941,14621,55
2023-02-12,3279,12952,107
2023-02-13,6485,20037,75
2023-02-14,6436,19523,74
2023-02-15,5938,18907,59
2023-02-16,5876,18355,62
2023-02-17,5574,19810,183
2023-02-18,4661,14345,17
2023-02-19,3055,10217,34
2023-02-20,6269,19393,78
2023-02-21,6087,20222,106
2023-02-22,6565,21019,257
2023-02-23,5910,19324,103
2023-02-24,5766,23607,135
2023-02-25,4842,20974,69
2023-02-26,4010,19294,106
2023-02-27,7669,23575,136
2023-02-28,6060,19999,134
2023-03-01,5976,18804,46
2023-03-02,6312,20218,197
2023-03-03,6005,18270,64
2023-03-04,5020,14664,34
2023-03-05,3244,11546,187
2023-03-06,7748,19710,55
2023-03-07,6769,22460,113
2023-03-08,5824,20956,118
2023-03-09,6054,18114,49
2023-03-10,5855,16974,55
2023-03-11,5129,15811,37
2023-03-12,3555,11859,45
2023-03-13,7110,19811,106
2023-03-14,6314,19592,96
2023-03-15,6301,21675,87
2023-03-16,5941,20478,112
2023-03-17,5760,17041,50
2023-03-18,4698,15081,44
2023-03-19,2980,12321,63
2023-03-20,3704,13088,48
2023-03-21,7447,21913,212
2023-03-22,5421,22476,285
2023-03-23,4635,20205,99
2023-03-24,5688,19438,78
2023-03-25,5481,16914,70
2023-03-26,3256,11707,32
2023-03-27,6988,20348,60
2023-03-28,5855,18721,60
2023-03-29,5651,21361,125
